symbol,name,country
MSFT,Microsoft Corporation,USA
AAPL,Apple Inc,USA
AMZN,Amazon.com Inc,USA
GOOG,Alphabet Inc - Class C,USA
GOOGL,Alphabet Inc - Class A,USA
BABA,Alibaba Group Holding Ltd,USA
FB,Meta Platforms Inc - Class A,USA
BRK.B,BERKSHIRE HATHAWAY INC,USA
BRK.A,BERKSHIRE HATHAWAY INC,USA
VOD,Vodafone Group plc,USA
V,Visa Inc - Class A,USA
JPM,JPMorgan Chase & Company,USA
JNJ,Johnson & Johnson,USA
WMT,Walmart Inc,USA
MA,Mastercard Incorporated - Class A,USA
PG,Procter & Gamble Company,USA
TSM,Taiwan Semiconductor Manufacturing,USA
CHT,Chunghwa Telecom,USA
RHHBF,Roche Holding AG,USA
RHHVF,Roche Holding AG,USA
T,AT&T Inc,USA
UNH,Unitedhealth Group Inc,USA
BAC,Bank Of America Corp,USA
HD,Home Depot Inc,USA
INTC,Intel Corp,USA
KO,Coca-Cola Company,USA
VZ,Verizon Communications Inc,USA
RHHBY,Roche Holding AG,USA
XOM,Exxon Mobil Corp,USA
DIS,Walt Disney Co (The),USA
MRK,Merck & Co Inc,USA
NVS,Novartis AG,USA
CMCSA,Comcast Corp - Class A,USA
PFE,Pfizer Inc,USA
PEP,PepsiCo Inc,USA
TM,Toyota Motor Corporation,USA
CVX,Chevron Corp,USA
ADBE,Adobe Inc,USA
CSCO,Cisco Systems Inc,USA
WFC,Wells Fargo & Company,USA
NVDA,NVIDIA Corp,USA
NFLX,Netflix Inc,USA
ORCL,Oracle Corp,USA
BA,Boeing Company,USA
CHL,China Mobile Ltd ADR,USA
CRM,Salesforce Inc,USA
SAP,Sap SE,USA
MCD,McDonald`s Corp,USA
NKE,Nike Inc - Class B,USA
ABT,Abbott Laboratories,USA
C,Citigroup Inc,USA
MDT,Medtronic Plc,USA
HSBC,HSBC Holdings plc,USA
TSLA,Tesla Inc,USA
COST,Costco Wholesale Corp,USA
BMY,Bristol-Myers Squibb Compan,USA
HSBC/PA,HSBC HOLDINGS PLC ADR EACH REPR 1/40 PREF SERIES,USA
PYPL,PayPal Holdings Inc,USA
PM,Philip Morris International Inc,USA
NEE,NextEra Energy Inc,USA
ABBV,Abbvie Inc,USA
LLY,Lilly(Eli) & Company,USA
AMGN,AMGEN Inc,USA
SNY,Sanofi,USA
TMO,Thermo Fisher Scientific Inc,USA
ASML,ASML Holding NV,USA
AZN,Astrazeneca plc,USA
ACN,Accenture plc - Class A,USA
IBM,International Business Machines Corp,USA
HON,Honeywell International Inc,USA
UTX,UNITED TECHNOLOGIES CORP,USA
TOT,TotalEnergies SE,USA
AVGO,Broadcom Inc,USA
TXN,Texas Instruments Inc,USA
NVO,Novo Nordisk,USA
UNP,Union Pacific Corp,USA
RY,Royal Bank Of Canada,USA
BP,BP plc,USA
LMT,Lockheed Martin Corp,USA
AMT,American Tower Corp,USA
LIN,Linde Plc,USA
GSK,GSK Plc,USA
DHR,Danaher Corp,USA
CHTR,Charter Communications Inc - Class A,USA
HDB,HDFC Bank Ltd,USA
GE,General Electric Company,USA
SBUX,Starbucks Corp,USA
BUD,Anheuser-Busch In Bev SA/NV,USA
GILD,Gilead Sciences Inc,USA
TD,Toronto Dominion Bank,USA
SHI,Sinopec Shanghai Petrochemical Co. Ltd,USA
QCOM,Qualcomm Inc,USA
AXP,American Express Company,USA
RDS.A,ROYAL DUTCH SHELL ADR EA REP 2 CL'A' EUR0.07,USA
FIS,Fidelity National Information Services Inc,USA
BTI,British American Tobacco Plc,USA
MMM,3M Company,USA
LOW,Lowe`s Cos. Inc,USA
DEO,Diageo plc,USA
RDS.B,ROYAL DUTCH SHELL ADR EA REP 2 CL'B' EUR0.07,USA